,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0x1841b9,-0.6480000000000001,-20.0,0.0,,,,,,2.8051345612800005,,,,,,,
0x184b46,29.675616344801284,,-20.0,,,,,,,,,,,,,
0x1b8209c,,,,,10.218825690053677,,,,-72.11844628414757,,,,-63.90082996429161,60.44795511351695,,
0x1e91ad7,,0.0,,0.0,16.44966144,,,,,,,,,0.0,,
0x1e91cf9,,0.0,,,3.6,,,,,,,,,,,
0x1fb222d,,36.0,,,,,,,,,,,,,,
0x18d13c8,,,,,,,,86.8779863678714,0.0,,,,,,,
0x1b5b8cd,,,,,,,,,99.94929397599087,,,,,,,
0x17edc76,,,-9.36,,,,,,0.0,,,,,,,
0x14de7fc,,,,,,,,,-48.8,,,,,,,
0x1b8204a,,,,,0.0,,,,,,,,0.0,0.0,,
0x1e914dc,,0.0,,,0.0,,,,,,,,,,,0.0
0x23129eb,,,,0.0,,,,,,,,0.0,,,,0.0
0x241621e,,,,,,,,,-20.0,,,,,,,0.0
0x947fe5,,,,,0.0,,,,,,,,,0.020995200000000006,,0.0
0x94876f,85.17860786977941,,0.0,,0.0,,,,,,,,,,,
0x174ea5b,,,99.99999723930146,,,,,,,,,,,,,
0x7e775,0.0,0.0,0.0,,,,,0.0,,,,,,,,
0xb2323a,0.0,,,,,,,0.0,,,,,,,,
0xb24c83,20.0,,,,,,,,,,,,,,,
0x174bf17,,,64.72398422954645,,,,,,69.47393595013786,,,,,72.87413536969102,,
0x143cc23,,,,,,,,80.99988428031843,32.21632490188972,,,,0.9331200000000003,0.0,,
0x144498a,,,,0.0,,,,,0.0,,,,,0.0,,
0x14c0191,,,,,,,,,99.99999999999997,,,,,,,
0xd4664f,,,,,,,,-80.56077922718029,,,,,,-71.57104100509231,,
0xd46481,,,,,,,,-34.121505705984006,,,,-35.773994373120004,,,,-30.012027310080004
0xd497c4,,,,,,,,,,,,-60.5257869312,,,,
0xdaf125,-91.41006540800001,,,,,,,,,,,,,,,
0x3894cc,0.0,0.0,,0.0,,,,,,,,,,,,0.0
0x1139c19,,0.0,,,,,,,,,,,0.0,,,0.0
0x112b526,,0.0,,,,,,,,,,,3.6,,,
0x1721535,,,70.86632226162772,,,,,0.0,,,,,,,0.0,25.926754843225204
0x1a1efd3,,,,0.0,,,,,,,,,,0.0,0.0,0.0
0x148bc78,,,,,,,,,,,,,0.0,0.0,0.0,0.0
